kw;country;category;color
assurance appartement;FR;assurance;
assurance auto;FR;assurance;
assurance habitation;FR;assurance;
assurance moto;FR;assurance;
Assurance voiture;FR;assurance;
carré bleu;FR;baq;
carré vert;FR;baq;
carte bancaire;FR;baq;
carte bancaire mastercard;FR;baq;
carte mastercard;FR;baq;
carte visa;FR;baq;
carte visa infinite;FR;baq;
Cel;FR;epargne;
codebis;FR;epargne;
codebis ;FR;epargne;
compte titre;FR;epargne;
eco prêt à taux zero;FR;credit;
eco prêt à taux zéro;FR;credit;
eco prêt taux zero;FR;credit;
garantie décès;FR;assurance;
garantie locative;FR;assurance;
garantie obsèque;FR;assurance;
gold mastercard;FR;baq;
LDD;FR;epargne;
LEP;FR;epargne;
livret a;FR;epargne;
livret de dev durable;FR;epargne;
livret de developpement durable;FR;epargne;
livret tiwi;FR;epargne;
mastercard;FR;baq;
PEL;FR;epargne;
prêt conso;FR;conso;
Prêt consommation;FR;conso;
Prêt immobilier;FR;conso;
prêt perso;FR;conso;
prêt perso ;FR;conso;
Prêt travaux;FR;conso;
visa premier;FR;baq;